---------------------------------------------------- Set Associative Placement Policy - FIFO ----------------------------------------------------

Cache Size,Block Size,# of Blocks,# of Ways,Offset Size,Ram Size,Word Size,# of Words,Tag Size
32 Bytes,2 Bytes,16 Bytes,2 Bytes,1 Bits,16 Bytes,2 Bytes,1 Bytes,12 Bytes

------------------------------------------------------ Set Associative Cache Table ------------------------------------------------------

Address,Set #,Data[0],Data[1],Tag,Offset,H/M,Instruction,Address(es) Evicted
="0011001110110111",="011",="0011001110110111",="-",="001100111011",="1",="Miss",="0xF1",-
="0010011011101100",="110",="0010011011101100",="-",="001001101110",="0",="Miss",="0xDF",-
="1010101011111001",="100",="1010101011111001",="-",="101010101111",="1",="Miss",="0x72",-
="1101111101001100",="110",="0010011011101100",="1101111101001100",="110111110100",="0",="Miss",="0x61",-
="0011001110110111",="011",="0011001110110111",="-",="001100111011",="1",="Hit",="0xF1",-
="1101111101001100",="110",="0010011011101100",="1101111101001100",="110111110100",="0",="Hit",="0x61",-
="1010101011111001",="100",="1010101011111001",="-",="101010101111",="1",="Hit",="0x72",-
="1010101011111001",="100",="1010101011111001",="-",="101010101111",="1",="Hit",="0x72",-
="1010101001111001",="100",="1010101011111001",="1010101001111001",="101010100111",="1",="Miss",="0x0F",-
="1101111101001101",="110",="1101111101001100",="1101111101001101",="110111110100",="1",="Miss",="0xDE",0010011011101100
="0011001110110110",="011",="0011001110110111",="0011001110110110",="001100111011",="0",="Miss",="0x8E",-
="1101111101001101",="110",="1101111101001100",="1101111101001101",="110111110100",="1",="Hit",="0xDE",-
="1010101001111001",="100",="1010101011111001",="1010101001111001",="101010100111",="1",="Hit",="0x0F",-
="0011001110110110",="011",="0011001110110111",="0011001110110110",="001100111011",="0",="Hit",="0x8E",-
="1101111101001101",="110",="1101111101001100",="1101111101001101",="110111110100",="1",="Hit",="0xDE",-
="1010101011111001",="100",="1010101011111001",="1010101001111001",="101010101111",="1",="Hit",="0x72",-
